match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin
1,1977,Last 16,L16,2,25,20,Ray Reardon,WAL,1,13,65,W,Patsy Fagan,IRL,u,7,35,L,Ray Reardon,WAL,1,13,Patsy Fagan,IRL,u,7,6
1,1977,Last 16,L16,2,25,20,Patsy Fagan,IRL,u,7,35,L,Ray Reardon,WAL,1,13,65,W,Ray Reardon,WAL,1,13,Patsy Fagan,IRL,u,7,6
2,1977,Last 16,L16,2,25,22,John Spencer,ENG,8,13,59.09090909,W,John Virgo,ENG,u,9,40.90909091,L,John Spencer,ENG,8,13,John Virgo,ENG,u,9,4
2,1977,Last 16,L16,2,25,22,John Virgo,ENG,u,9,40.90909091,L,John Spencer,ENG,8,13,59.09090909,W,John Spencer,ENG,8,13,John Virgo,ENG,u,9,4
3,1977,Last 16,L16,2,25,17,Graham Miles,ENG,5,13,76.47058824,W,Willie Thorne,ENG,u,4,23.52941176,L,Graham Miles,ENG,5,13,Willie Thorne,ENG,u,4,9
3,1977,Last 16,L16,2,25,17,Willie Thorne,ENG,u,4,23.52941176,L,Graham Miles,ENG,5,13,76.47058824,W,Graham Miles,ENG,5,13,Willie Thorne,ENG,u,4,9
4,1977,Last 16,L16,2,25,25,John Pulman,ENG,u,13,52,W,Fred Davis,ENG,4,12,48,L,John Pulman,ENG,u,13,Fred Davis,ENG,4,12,1
4,1977,Last 16,L16,2,25,25,Fred Davis,ENG,4,12,48,L,John Pulman,ENG,u,13,52,W,John Pulman,ENG,u,13,Fred Davis,ENG,4,12,1
5,1977,Last 16,L16,2,25,18,Eddie Charlton,AUS,3,13,72.22222222,W,David Taylor,ENG,u,5,27.77777778,L,Eddie Charlton,AUS,3,13,David Taylor,ENG,u,5,8
5,1977,Last 16,L16,2,25,18,David Taylor,ENG,u,5,27.77777778,L,Eddie Charlton,AUS,3,13,72.22222222,W,Eddie Charlton,AUS,3,13,David Taylor,ENG,u,5,8
6,1977,Last 16,L16,2,25,19,Cliff Thorburn,CAN,u,13,68.42105263,W,Rex Williams,ENG,6,6,31.57894737,L,Cliff Thorburn,CAN,u,13,Rex Williams,ENG,6,6,7
6,1977,Last 16,L16,2,25,19,Rex Williams,ENG,6,6,31.57894737,L,Cliff Thorburn,CAN,u,13,68.42105263,W,Cliff Thorburn,CAN,u,13,Rex Williams,ENG,6,6,7
7,1977,Last 16,L16,2,25,24,Dennis Taylor,NIR,u,13,54.16666667,W,Perrie Mans,RSA,7,11,45.83333333,L,Dennis Taylor,NIR,u,13,Perrie Mans,RSA,7,11,2
7,1977,Last 16,L16,2,25,24,Perrie Mans,RSA,7,11,45.83333333,L,Dennis Taylor,NIR,u,13,54.16666667,W,Dennis Taylor,NIR,u,13,Perrie Mans,RSA,7,11,2
8,1977,Last 16,L16,2,25,25,Doug Mountjoy,WAL,u,13,52,W,Alex Higgins,NIR,2,12,48,L,Doug Mountjoy,WAL,u,13,Alex Higgins,NIR,2,12,1
8,1977,Last 16,L16,2,25,25,Alex Higgins,NIR,2,12,48,L,Doug Mountjoy,WAL,u,13,52,W,Doug Mountjoy,WAL,u,13,Alex Higgins,NIR,2,12,1
9,1977,Quarter-Finals,QF,4,25,19,John Spencer,ENG,8,13,68.42105263,W,Ray Reardon,WAL,1,6,31.57894737,L,John Spencer,ENG,8,13,Ray Reardon,WAL,1,6,7
9,1977,Quarter-Finals,QF,4,25,19,Ray Reardon,WAL,1,6,31.57894737,L,John Spencer,ENG,8,13,68.42105263,W,John Spencer,ENG,8,13,Ray Reardon,WAL,1,6,7
10,1977,Quarter-Finals,QF,3,25,23,John Pulman,ENG,u,13,56.52173913,W,Graham Miles,ENG,5,10,43.47826087,L,John Pulman,ENG,u,13,Graham Miles,ENG,5,10,3
10,1977,Quarter-Finals,QF,3,25,23,Graham Miles,ENG,5,10,43.47826087,L,John Pulman,ENG,u,13,56.52173913,W,John Pulman,ENG,u,13,Graham Miles,ENG,5,10,3
11,1977,Quarter-Finals,QF,3,25,25,Cliff Thorburn,CAN,u,13,52,W,Eddie Charlton,AUS,3,12,48,L,Cliff Thorburn,CAN,u,13,Eddie Charlton,AUS,3,12,1
11,1977,Quarter-Finals,QF,3,25,25,Eddie Charlton,AUS,3,12,48,L,Cliff Thorburn,CAN,u,13,52,W,Cliff Thorburn,CAN,u,13,Eddie Charlton,AUS,3,12,1
12,1977,Quarter-Finals,QF,3,25,24,Dennis Taylor,NIR,u,13,54.16666667,W,Doug Mountjoy,WAL,u,11,45.83333333,L,Dennis Taylor,NIR,u,13,Doug Mountjoy,WAL,u,11,2
12,1977,Quarter-Finals,QF,3,25,24,Doug Mountjoy,WAL,u,11,45.83333333,L,Dennis Taylor,NIR,u,13,54.16666667,W,Dennis Taylor,NIR,u,13,Doug Mountjoy,WAL,u,11,2
13,1977,Semi-Finals,SF,4,35,34,John Spencer,ENG,8,18,52.94117647,W,John Pulman,ENG,u,16,47.05882353,L,John Spencer,ENG,8,18,John Pulman,ENG,u,16,2
13,1977,Semi-Finals,SF,4,35,34,John Pulman,ENG,u,16,47.05882353,L,John Spencer,ENG,8,18,52.94117647,W,John Spencer,ENG,8,18,John Pulman,ENG,u,16,2
14,1977,Semi-Finals,SF,4,35,34,Cliff Thorburn,CAN,u,18,52.94117647,W,Dennis Taylor,NIR,u,16,47.05882353,L,Cliff Thorburn,CAN,u,18,Dennis Taylor,NIR,u,16,2
14,1977,Semi-Finals,SF,4,35,34,Dennis Taylor,NIR,u,16,47.05882353,L,Cliff Thorburn,CAN,u,18,52.94117647,W,Cliff Thorburn,CAN,u,18,Dennis Taylor,NIR,u,16,2
15,1977,The Final,FIN,5,49,46,John Spencer,ENG,8,25,54.34782609,W,Cliff Thorburn,CAN,u,21,45.65217391,L,John Spencer,ENG,8,25,Cliff Thorburn,CAN,u,21,4
15,1977,The Final,FIN,5,49,46,Cliff Thorburn,CAN,u,21,45.65217391,L,John Spencer,ENG,8,25,54.34782609,W,John Spencer,ENG,8,25,Cliff Thorburn,CAN,u,21,4
16,1978,Last 16,L16,2,25,21,Perrie Mans,RSA,u,13,61.9047619,W,John Spencer,ENG,1,8,38.0952381,L,Perrie Mans,RSA,u,13,John Spencer,ENG,1,8,5
16,1978,Last 16,L16,2,25,21,John Spencer,ENG,1,8,38.0952381,L,Perrie Mans,RSA,u,13,61.9047619,W,Perrie Mans,RSA,u,13,John Spencer,ENG,1,8,5
17,1978,Last 16,L16,2,25,23,Graham Miles,ENG,8,13,56.52173913,W,David Taylor,ENG,u,10,43.47826087,L,Graham Miles,ENG,8,13,David Taylor,ENG,u,10,3
17,1978,Last 16,L16,2,25,23,David Taylor,ENG,u,10,43.47826087,L,Graham Miles,ENG,8,13,56.52173913,W,Graham Miles,ENG,8,13,David Taylor,ENG,u,10,3
18,1978,Last 16,L16,2,25,25,Patsy Fagan,IRL,u,13,52,W,Alex Higgins,NIR,5,12,48,L,Patsy Fagan,IRL,u,13,Alex Higgins,NIR,5,12,1
18,1978,Last 16,L16,2,25,25,Alex Higgins,NIR,5,12,48,L,Patsy Fagan,IRL,u,13,52,W,Patsy Fagan,IRL,u,13,Alex Higgins,NIR,5,12,1
19,1978,Last 16,L16,2,25,22,Fred Davis,ENG,u,13,59.09090909,W,Dennis Taylor,NIR,4,9,40.90909091,L,Fred Davis,ENG,u,13,Dennis Taylor,NIR,4,9,4
19,1978,Last 16,L16,2,25,22,Dennis Taylor,NIR,4,9,40.90909091,L,Fred Davis,ENG,u,13,59.09090909,W,Fred Davis,ENG,u,13,Dennis Taylor,NIR,4,9,4
20,1978,Last 16,L16,2,25,25,Eddie Charlton,AUS,3,13,52,W,Willie Thorne,ENG,u,12,48,L,Eddie Charlton,AUS,3,13,Willie Thorne,ENG,u,12,1
20,1978,Last 16,L16,2,25,25,Willie Thorne,ENG,u,12,48,L,Eddie Charlton,AUS,3,13,52,W,Eddie Charlton,AUS,3,13,Willie Thorne,ENG,u,12,1
21,1978,Last 16,L16,2,25,21,Cliff Thorburn,CAN,6,13,61.9047619,W,Pat Houlihan,ENG,u,8,38.0952381,L,Cliff Thorburn,CAN,6,13,Pat Houlihan,ENG,u,8,5
21,1978,Last 16,L16,2,25,21,Pat Houlihan,ENG,u,8,38.0952381,L,Cliff Thorburn,CAN,6,13,61.9047619,W,Cliff Thorburn,CAN,6,13,Pat Houlihan,ENG,u,8,5
22,1978,Last 16,L16,2,25,17,Bill Werbeniuk,CAN,u,13,76.47058824,W,John Pulman,ENG,7,4,23.52941176,L,Bill Werbeniuk,CAN,u,13,John Pulman,ENG,7,4,9
22,1978,Last 16,L16,2,25,17,John Pulman,ENG,7,4,23.52941176,L,Bill Werbeniuk,CAN,u,13,76.47058824,W,Bill Werbeniuk,CAN,u,13,John Pulman,ENG,7,4,9
23,1978,Last 16,L16,2,25,22,Ray Reardon,WAL,2,13,59.09090909,W,Doug Mountjoy,WAL,u,9,40.90909091,L,Ray Reardon,WAL,2,13,Doug Mountjoy,WAL,u,9,4
23,1978,Last 16,L16,2,25,22,Doug Mountjoy,WAL,u,9,40.90909091,L,Ray Reardon,WAL,2,13,59.09090909,W,Ray Reardon,WAL,2,13,Doug Mountjoy,WAL,u,9,4
24,1978,Quarter-Finals,QF,3,25,20,Perrie Mans,RSA,u,13,65,W,Graham Miles,ENG,8,7,35,L,Perrie Mans,RSA,u,13,Graham Miles,ENG,8,7,6
24,1978,Quarter-Finals,QF,3,25,20,Graham Miles,ENG,8,7,35,L,Perrie Mans,RSA,u,13,65,W,Perrie Mans,RSA,u,13,Graham Miles,ENG,8,7,6
25,1978,Quarter-Finals,QF,3,25,23,Fred Davis,ENG,u,13,56.52173913,W,Patsy Fagan,IRL,u,10,43.47826087,L,Fred Davis,ENG,u,13,Patsy Fagan,IRL,u,10,3
25,1978,Quarter-Finals,QF,3,25,23,Patsy Fagan,IRL,u,10,43.47826087,L,Fred Davis,ENG,u,13,56.52173913,W,Fred Davis,ENG,u,13,Patsy Fagan,IRL,u,10,3
26,1978,Quarter-Finals,QF,3,25,25,Eddie Charlton,AUS,3,13,52,W,Cliff Thorburn,CAN,6,12,48,L,Eddie Charlton,AUS,3,13,Cliff Thorburn,CAN,6,12,1
26,1978,Quarter-Finals,QF,3,25,25,Cliff Thorburn,CAN,6,12,48,L,Eddie Charlton,AUS,3,13,52,W,Eddie Charlton,AUS,3,13,Cliff Thorburn,CAN,6,12,1
